样本ID,场景,子类型(英文),子类型(中文),迁移类型(英文),迁移类型(中文),实现范围(英文),实现范围(中文),逻辑对应范围(英文),逻辑对应范围(中文),仓库名,仓库创建时间,仓库Stars,PR编号,PR链接,PR创建时间,标题,PR摘要,修改文件摘要,原始是否有测试(英文),原始是否有测试(中文),是否新增测试(英文),是否新增测试(中文),自动信号(英文),自动信号(中文),人工标签(英文),人工标签(中文提示),源语言(英文),源语言(中文),目标语言(英文),目标语言(中文),源版本,目标版本,迁移模式说明,测试框架(英文),测试框架(中文),构建系统(英文),构建系统(中文),可复现性(英文),可复现性(中文),是否适合改写Issue(英文),是否适合改写Issue(中文),泄漏风险(英文),泄漏风险(中文),排除原因(英文),排除原因(中文),标注人,交叉复核状态(英文),交叉复核状态(中文),备注
py2_py3__MarkusNeusinger__anyplot__pr4328,language_migration,py2_py3,Python 2 到 Python 3,version_migration,同语言版本迁移,not_applicable,不适用,same_logic_translation,同一逻辑翻译,MarkusNeusinger/anyplot,2025-11-18T18:15:06Z,7,4328,https://github.com/MarkusNeusinger/anyplot/pull/4328,2026-02-21T22:28:01Z,update(violin-basic): pygal — comprehensive quality review,"## Summary Updated **pygal** implementation for **violin-basic**. **Changes:** Comprehensive quality review improving code quality, data choice, visual design, spec compliance, and library feature usage. ### Changes - Improved data generation with distinct distribution shapes per category -...",plots/violin-basic/implementations/pygal.py; plots/violin-basic/metadata/pygal.yaml,true,是,false,否,keyword_match; touches_code,命中关键词；修改代码,,正例=positive；负例=negative；不确定=uncertain,python,Python,python,Python,2,3,,,,,,unknown,待确认,needs_check,还需检查,low,低,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
py2_py3__MarkusNeusinger__anyplot__pr5206,language_migration,py2_py3,Python 2 到 Python 3,version_migration,同语言版本迁移,not_applicable,不适用,same_logic_translation,同一逻辑翻译,MarkusNeusinger/anyplot,2025-11-18T18:15:06Z,7,5206,https://github.com/MarkusNeusinger/anyplot/pull/5206,2026-04-05T20:39:22Z,update(dendrogram-basic): pygal — comprehensive quality review,"## Summary Updated **pygal** implementation for **dendrogram-basic**. **Changes:** Comprehensive review improving code quality, data choice, visual design, spec compliance, and library feature usage. ## Test Plan - [x] Preview images uploaded to GCS staging - [x] Implementation file passes ruff...",plots/dendrogram-basic/implementations/pygal.py; plots/dendrogram-basic/metadata/pygal.yaml,true,是,false,否,keyword_match; touches_code,命中关键词；修改代码,,正例=positive；负例=negative；不确定=uncertain,python,Python,python,Python,2,3,,,,,,unknown,待确认,needs_check,还需检查,low,低,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
py2_py3__NousResearch__hermes-agent__pr6383,language_migration,py2_py3,Python 2 到 Python 3,version_migration,同语言版本迁移,not_applicable,不适用,same_logic_translation,同一逻辑翻译,NousResearch/hermes-agent,2025-07-22T22:22:28Z,97247,6383,https://github.com/NousResearch/hermes-agent/pull/6383,2026-04-09T02:55:27Z,"fix(models): preserve OpenRouter variant tags (:free, :extended, :fast) during model switch","## Summary Fixes the bug reported on Discord and identified in PR #6088: OpenRouter model IDs with variant suffixes like `:free`, `:extended`, `:fast` were being mangled during `/model` switching. **Root cause:** `model_switch.py` Step c blindly converted the first colon to a slash for aggregator...",hermes_cli/model_switch.py; tests/hermes_cli/test_model_switch_variant_tags.py,true,是,true,是,adds_new_tests; strict_migration_signal; touches_code; touches_tests,新增测试；强迁移信号；修改代码；修改测试,,正例=positive；负例=negative；不确定=uncertain,python,Python,python,Python,2,3,,pytest,pytest,,,unknown,待确认,needs_check,还需检查,low,低,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
py2_py3__OpenAEV-Platform__injectors__pr145,language_migration,py2_py3,Python 2 到 Python 3,version_migration,同语言版本迁移,not_applicable,不适用,same_logic_translation,同一逻辑翻译,OpenAEV-Platform/injectors,2024-03-11T00:14:42Z,5,145,https://github.com/OpenAEV-Platform/injectors/pull/145,2026-01-27T15:56:37Z,[injector] feat(shodan): create new injector (#106),<!-- Thank you very much for your pull request to the OpenAEV project! We as a community driven project depend on support and contributions like this! Thus already a BIG THANK YOU upfront to you for choosing to help with your PR. --> ### Proposed changes - Implementation of 7 contracts for the...,shodan/.dockerignore; shodan/.gitignore; shodan/CONTRIBUTING.md; shodan/Dockerfile; shodan/README.md; shodan/docker-compose.yml; shodan/pyproject.toml; shodan/requirements.txt; shodan/shodan/.env.sample; shodan/shodan/__init__.py; shodan/shodan/__main__.py; shodan/shodan/config.yml.sample; shodan/shodan/contracts/__init__.py; shodan/shodan/contracts/cloud_provider_asset_discovery/__init__.py; shodan/shodan/contracts/cloud_provider_asset_discovery/contract.py; shodan/shodan/contracts/critical_ports_and_exposed_admin_interface/__init__.py; shodan/shodan/contracts/critical_ports_and_exposed_admin_interface/contract.py; shodan/shodan/contracts/custom_query/__init__.py; shodan/shodan/contracts/custom_query/contract.py; shodan/shodan/contracts/cve_enumeration/__init__.py,true,是,true,是,adds_new_tests; keyword_match; touches_code; touches_tests,新增测试；命中关键词；修改代码；修改测试,,正例=positive；负例=negative；不确定=uncertain,python,Python,python,Python,2,3,,pytest,pytest,poetry,Poetry,unknown,待确认,needs_check,还需检查,low,低,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
py2_py3__QSOLKCB__QEC__pr232,language_migration,py2_py3,Python 2 到 Python 3,version_migration,同语言版本迁移,not_applicable,不适用,same_logic_translation,同一逻辑翻译,QSOLKCB/QEC,2025-10-22T03:34:27Z,11,232,https://github.com/QSOLKCB/QEC/pull/232,2026-04-07T08:19:58Z,v137.10.3 — Deterministic Claim Audit Kernel (Layer 4),"### Motivation - Provide a narrow Layer 4 audit kernel that deterministically evaluates claims as `supported`, `contradicted`, or `inconclusive` using existing experiment/evidence artifacts and explicit bounded rules. - Enforce strict, replay-safe artifact contracts (canonical JSON/bytes, stable...",src/qec/analysis/claim_audit.py; tests/test_claim_audit.py,true,是,true,是,adds_new_tests; keyword_match; strict_migration_signal; touches_code; touches_tests,新增测试；命中关键词；强迁移信号；修改代码；修改测试,,正例=positive；负例=negative；不确定=uncertain,python,Python,python,Python,2,3,,pytest,pytest,,,unknown,待确认,needs_check,还需检查,low,低,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
py2_py3__QSOLKCB__QEC__pr245,language_migration,py2_py3,Python 2 到 Python 3,version_migration,同语言版本迁移,not_applicable,不适用,same_logic_translation,同一逻辑翻译,QSOLKCB/QEC,2025-10-22T03:34:27Z,11,245,https://github.com/QSOLKCB/QEC/pull/245,2026-04-09T07:43:33Z,v137.12.0: deterministic neuromorphic substrate simulator (Layer 4),"### Motivation - Provide a deterministic, replay-safe Layer 4 simulation substrate for spike-train state evolution with stable receipts and canonical bytes. - Enforce strict simulation-first invariants: deterministic update law, no hidden randomness, and stable SHA-256 identity for verification....",src/qec/analysis/neuromorphic_substrate_simulator.py; tests/test_neuromorphic_substrate_simulator.py,true,是,true,是,adds_new_tests; keyword_match; strict_migration_signal; touches_code; touches_tests,新增测试；命中关键词；强迁移信号；修改代码；修改测试,,正例=positive；负例=negative；不确定=uncertain,python,Python,python,Python,2,3,,pytest,pytest,,,unknown,待确认,needs_check,还需检查,low,低,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
py2_py3__QSOLKCB__QEC__pr267,language_migration,py2_py3,Python 2 到 Python 3,version_migration,同语言版本迁移,not_applicable,不适用,same_logic_translation,同一逻辑翻译,QSOLKCB/QEC,2025-10-22T03:34:27Z,11,267,https://github.com/QSOLKCB/QEC/pull/267,2026-04-13T23:01:52Z,v137.16.2 — Deterministic Codebase Topology Indexer,"### Motivation - Provide an additive, deterministic topology indexing layer that extends the deterministic memory graph and decision DAG compiler to produce a stable codebase topology artifact. - Ensure topology indexing obeys the repository's determinism laws: same input → same...",src/qec/memory/codebase_topology_indexer.py; tests/test_codebase_topology_indexer.py,true,是,true,是,adds_new_tests; keyword_match; strict_migration_signal; touches_code; touches_tests,新增测试；命中关键词；强迁移信号；修改代码；修改测试,,正例=positive；负例=negative；不确定=uncertain,python,Python,python,Python,2,3,,pytest,pytest,,,unknown,待确认,needs_check,还需检查,low,低,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
py2_py3__RedHatInsights__insights-core__pr4707,language_migration,py2_py3,Python 2 到 Python 3,version_migration,同语言版本迁移,not_applicable,不适用,same_logic_translation,同一逻辑翻译,RedHatInsights/insights-core,2017-05-26T14:23:11Z,167,4707,https://github.com/RedHatInsights/insights-core/pull/4707,2026-01-29T15:57:11Z,chore: drop python2 from insights-client,"### All Pull Requests: Check all that apply: * [x] Have you followed the guidelines in our Contributing document, including the instructions about commit messages? * [x] No Sensitive Data in this change? * [ ] Is this PR to correct an issue? * [ ] Is this PR an enhancement? * [ ] Need backport to...",insights/client/apps/ansible/playbook_verifier/__init__.py; insights/client/apps/ansible/playbook_verifier/serializer.py; insights/client/client.py; insights/client/collection_rules.py; insights/client/config.py; insights/client/connection.py; insights/tests/client/apps/test_playbook_verifier.py; insights/tests/client/collection_rules/test_get_rm_conf.py; insights/tests/client/test_crypto.py; insights/tests/client/test_utilities.py,true,是,false,否,keyword_match; strict_migration_signal; touches_code; touches_tests,命中关键词；强迁移信号；修改代码；修改测试,,正例=positive；负例=negative；不确定=uncertain,python,Python,python,Python,2,3,,test_files_detected,检测到测试文件,,,unknown,待确认,needs_check,还需检查,high,高,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
py2_py3__SirVer__ultisnips__pr1591,language_migration,py2_py3,Python 2 到 Python 3,version_migration,同语言版本迁移,not_applicable,不适用,same_logic_translation,同一逻辑翻译,SirVer/ultisnips,2011-12-30T07:07:24Z,7685,1591,https://github.com/SirVer/ultisnips/pull/1591,2026-04-05T14:40:29Z,Fix minor correctness issues,- Fix .iteritems() → .items() in vim_helper.py escape(). This is a latent Python 2 crash when a dict is passed. - Update mypy.ini python_version from 3.7 to 3.11 to match pyproject.toml requires-python. - Replace bare except: clauses with specific exception types - Add comment to Vim version...,mypy.ini; plugin/UltiSnips.vim; pythonx/UltiSnips/remote_pdb.py; pythonx/UltiSnips/snippet/parsing/lexer.py; pythonx/UltiSnips/vim_helper.py,true,是,false,否,keyword_match; strict_migration_signal; touches_code,命中关键词；强迁移信号；修改代码,,正例=positive；负例=negative；不确定=uncertain,python,Python,python,Python,2,3,,,,,,unknown,待确认,needs_check,还需检查,high,高,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
py2_py3__TuringQ__deepquantum__pr135,language_migration,py2_py3,Python 2 到 Python 3,version_migration,同语言版本迁移,not_applicable,不适用,same_logic_translation,同一逻辑翻译,TuringQ/deepquantum,2024-06-19T16:48:45Z,74,135,https://github.com/TuringQ/deepquantum/pull/135,2026-01-15T09:59:49Z,Wigner function implementation from Fock state tensor,"1. Fix bugs in ``BosonicState.wigner`` function - Error when computing the Wigner function of a Gaussian state with ``ncom=1`` <img width=""918"" height=""659"" alt=""image"" src=""https://github.com/user-attachments/assets/4f0d8b4f-c7e4-404b-a1bc-a357184ed542"" /> -Solution: Squeeze ``exp_imag`` along...",pyproject.toml; requirements-dev.txt; src/deepquantum/photonic/__init__.py; src/deepquantum/photonic/qmath.py; src/deepquantum/photonic/state.py; tests/test_photonic_qmath.py; tests/test_with_qutip.py,true,是,true,是,adds_new_tests; keyword_match; strict_migration_signal; touches_code; touches_tests,新增测试；命中关键词；强迁移信号；修改代码；修改测试,,正例=positive；负例=negative；不确定=uncertain,python,Python,python,Python,2,3,,test_files_detected,检测到测试文件,poetry,Poetry,unknown,待确认,needs_check,还需检查,high,高,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
py2_py3__aaronsb__bosectl__pr2,language_migration,py2_py3,Python 2 到 Python 3,version_migration,同语言版本迁移,not_applicable,不适用,same_logic_translation,同一逻辑翻译,aaronsb/bosectl,,7,2,https://github.com/aaronsb/bosectl/pull/2,,Implement Rust BMAP library and bmapctl CLI,## Summary - Full Rust implementation of the BMAP protocol library (`bmap` crate) - Same layered architecture as Python: protocol → transport → connection → CLI - `bmapctl` binary — single 599KB native executable - `Transport` trait enables mock testing without Bluetooth hardware - QC Ultra 2...,python/pybmap/connection.py; rust/Cargo.lock; rust/Cargo.toml; rust/src/connection.rs; rust/src/device.rs; rust/src/devices.rs; rust/src/discovery.rs; rust/src/error.rs; rust/src/lib.rs; rust/src/main.rs; rust/src/protocol.rs; rust/src/transport.rs,true,是,false,否,keyword_match; touches_code,命中关键词；修改代码,,正例=positive；负例=negative；不确定=uncertain,python,Python,python,Python,2,3,,,,,,unknown,待确认,needs_check,还需检查,low,低,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
